
The D6;Le dé à 6 faces;Forcez un joueur à relancer un dé.;$
Sleight Of Hand;Tour de passe-passe;Regardez les 3 premières cartes d'un paquet puis replacez-les dans l'ordre de votre choix.;$
Yum Heart;Cœur délicieux;Prévenez 1 dégât infligé à un joueur ou un monstre.;$
Book Of Belial;Livre de Belial;Ajoutez ou retirez 1 à un lancer de dé.;$
Blood Lust;Soif de sang;Ajouter +1 attaque à un joueur ou monstre jusqu'à la fin du tour.;$
The Curse;La malédiction;Replacez la carte la plus récente d'une défausse au-dessus de son paquet.;$
Incubus;Incube;"Choisissez un effet : 
- Regardez la main d'un joueur. Vous pouvez échanger 1 de vos butins avec 1 des siens. 
- Piochez 1 butin, puis placez 1 butin de votre main au-dessus du paquet de butins.";$
Forever Alone;Seul à jamais;"(Passif) Quand vous subissez des dégâts, rechargez ce trésor.
(Activable) Choisissez un effet : 
- Volez 1c à un joueur. 
- Regardez la première carte d'un paquet. 
- Défausser 1 butin puis piochez 1 butin.";$
Lazarus' Rags;Bandages de Lazarus;Quand vous mourrez, après avoir payé les pénalités, gagnez 1 trésor.;$
The Bone;L'os;"(Activable) Placez 1 compteur sur ce trésor.
(Payant) Retirez des compteurs pour appliquer ces effets :
- 1 compteur : ajoutez +1 à un lancer de dé. 
- 2 compteurs : infligez 1 dégât à un joueur ou un monstre. 
- 3 compteurs : ce trésor perd tous ses effets et devient une âme.";$
Holy Mantle;Protection sainte;Quand un joueur doit mourir, prévenez la mort et terminez son tour.;$
Wooden Nickel;Pièce en bois;Choisissez un joueur puis lancez un dé : ce joueur gagne autant de pièces.;$
Lord Of The Pit;Seigneur du gouffre;Annulez une attaque sur un monstre. Le joueur peut attaquer à nouveau durant ce tour.;$
Void;Néant;"Choisissez un effet : 
Défaussez votre main puis piochez autant de butins. 
Défaussez un monstre actif non-attaqué ou un trésor du magasin.";$
Bag-O-Trash; Sac de détritus; Payez 4c et choisissez 1:
Piochez 1,
Faites 1 domage à un monstre ou à un joueur,
Jouez un carte butin en plus ce tour;$
Dark Arts;Arts Sombres;Quand n'importe qui fait un 6, gagnez 3c.
A chaque fois qu'un joueur meurt, piochez 2 butins.;$
Gimpy;Gimpy;A cahque fois que vous recevez un dommage, choisissez 1: Gagner 1 d'attaque ou Gagner 1c ou piochez un butin puis défaussez un butin.;$
Infestation;Infestation;Piochez 2 butins, défaussez 1 butin.;$
